equation,answer
y^{\prime\prime}-y=2\mathrm{e}^{x}-x^{2}.,"y\,=\,C_{1}\mathrm{e}^{x}\,+\,C_{2}\mathrm{e}^{-x}\,+\,x\mathrm{e}^{x}\,+\,x^2 + 2"
y^{\prime\prime}+y^{\prime}-2y=3x\mathrm{e}^{x}.,"y\;=\;\Big({\frac{x^{2}}{2}}\,-\,{\frac{x}{3}}\Big)\mathrm{e}^{x}\,+\,C_{1}\mathrm{e}^{-2x}\,+\,C_{2}\mathrm{e}^{x}."
y^{\prime\prime}-3y^{\prime}+2y=\sin x.,"y=C_1e^x+C_{2}\,\mathrm{e}^{2x}+0,1\sin x+0,{3}\cos x."
y^{\prime\prime}+y=4\sin x.,y=C_{1}\cos x+C_{2}\sin x-2x\cos x.
y^{\prime\prime}-5y^{\prime} + 4y = 4x^{2}e^{2x}.,y=C_{1}\mathrm{e}^{x}+C_{2}\mathrm{e}^{4x}-(2x^{2}-2x+3)\mathrm{e}^{2x}.
y^{\prime\prime}-3y^{\prime}+2y=x\cos x.,"y=C_{1}\mathrm{e}^{x}+C_{2}\mathrm{e}^{2x}+\left(0,1x-0,12\right)\cos x-(0,3x+0,34)\sin x."
y^{\prime\prime} + 3y^{\prime} - 4y = e^{-4x} + xe^{-x},"y=C_{1}\mathrm{e}^{x}+C_{2}\mathrm{e}^{-4x}-\frac{x}{5}\mathrm{e}^{-4x}-\left(\frac{x}{6}\,+\,\mathrm{\frac{~1}{36}}\right)\mathrm{e}^{-x}."
y^{\prime\prime}+2y^{\prime}-3y=x^{2}\mathrm{e}^{x}.,"y=\left(\frac{x^{3}}{12}\,-\,\frac{x^{2}}{16}\,+\,\frac{x}{32}\right)\mathrm{e}^{x}+C_{1}\mathrm{e}^{x}+C_{2}\mathrm{e}^{-3x}\,."
y^{\prime\prime}-4y^{\prime}+8y=\mathrm{e}^{2x}+\sin2x.,"y=\mathrm{e}^{2x}(C_{1}\mathrm{cos}\,2x+C_{2}\mathrm{sin}\,2x)^{\cdot}+0,25\mathrm{e}^{2x}+0,1\,\mathrm{cos}\,2x+0,05\,\mathrm{sin}\,2x."
y^{\prime\prime}-9y=\mathrm{e}^{3x}\cos x.,"y=C_{1}\mathrm{e}^{3x}+C_{2}\mathrm{e}^{-3x}+\mathrm{e}^{3x}({\frac{6}{37}}\mathrm{sin}\:x-\frac{\mathrm{cos}\:x}{37}),"
y^{\prime\prime}-2y^{\prime}+y=6x\mathrm{e}^{x}.,y=(C_{1}+C_{2}x+x^{3})\mathrm{e}^{x}.
y^{\prime\prime}+y=x\sin x.,"y\,=\,\bigl(C_{1}-{\frac{x^{2}}{4}}\bigr)\cos x\,+\,\bigl(C_{2}+{\frac{x}{4}}\bigr)\sin x."
y^{\prime\prime}+4y^{\prime}+4y=x\mathrm{e}^{2x}.,"y\,=\,(C_{1}\,+C_{2}x)e^{-2x}+\left({\frac{x}{16}}\,-\,{\frac{1}{32}}\right)\mathrm{e}^{2.x}."
y^{\prime\prime}-5y^{\prime}=3x^{2}+\sin5x.,"y=C_{1}+C_{2}\mathrm{e}^{5x}-0,2x^{3}-0,12x^{2}-0,048x+0,02(\cos5x-\sin5x)."
y^{\prime\prime}-2y^{\prime}+y={\textstyle\frac{e^{x}}{x}}.,y=\mathrm{e}^{x}(x\ln|x|+C_{1}x+C_{2}).
y^{\prime\prime}+3y^{\prime}+2y={\frac{1}{\mathrm{e}^{x}+1}}.,"y=(\mathrm{e}^{-x}\,+{\mathrm{e}}^{-2x})\ln(\mathrm{e}^{x}\!+\!1)\!+\!C_{1}\mathrm{e}^{-x}\!+\!C_{2}\mathrm{e}^{-2x}."
y^{\prime\prime}+y={\textstyle\frac{1}{\sin x}}.,y=(C_{1}+\ln\mid\sin x\mid)\sin x+(C_{2}-x)\cos x.
y^{\prime\prime}+4y=2\operatorname{tg}x.,y=\sin2x\ln|\cos x|-x\cos2x+C_{1}\sin2x+C_{2}\cos2x.
y^{\prime\prime}+2y^{\prime}+y=3\mathrm{e}^{-x}\sqrt{x+1}.,y=\mathrm{e}^{-x}\left(\textstyle{\frac{4}{5}}(x+1)^{5/2}+C_{1}+C_{2}x\right).
y^{\prime\prime}+y=2\sec^{3}x.,"y=C_{1}\cos x+C_{2}\sin x-\frac{\cos2x}{\cos x}\,."
x^{3}(y^{\prime\prime}-y)\underline{{{}}}=x^{2}-2.,y=-{\textstyle\frac{1}{x}}+C_{1}\mathrm{e}^{x}+C_{2}\mathrm{e}^{-x}.
x^{2}y^{\prime\prime}-4x y^{\prime}+6y=0.,y=C_{1}x^{2}+C_{2}x^{3}.
x^{2}y^{\prime\prime}-x y^{\prime}-3y=0.,y=C_{1}x^{3}+C_{2}x^{-1}.
x^{3}y^{\prime\prime\prime}+x y^{\prime}-y=0.,y=x(C_{1}+C_{2}\ln|x|+C_{3}\ln^{2}\!\!|x|).
x^2y^{\prime\prime\prime}=2y^{\prime},y=C_{1}+C_{2}\mathrm{ln}|x|+C_{3}x^{3}.
x^{2}y^{\prime\prime}-x y^{\prime}+y=8x^{3}.,"y\,=\,x(C_{1}+C_{2}\mathrm{ln}|x|)\,+\,2x^{3}."
x^{2}y^{\prime\prime}+x y^{\prime}+4y=10x.,"y\,=\,C_{1}\cos(2\,\mathrm{ln}|x|)\,+C_{2}{\mathrm{sin}}(2\ln|x|)+2x."
x^{3}y^{\prime\prime}-2x y=6\ln x.,y=C_{1}x^{2}+\frac{1}{x}\left(C_{2}-\frac{2}{3}\ln x-\ln^{2}x\right).
x^{2}y^{\prime\prime}-3x y^{\prime}+5y=3x^{2}.,y={x^{2}}(C_{1}\cos\ln|{x}|+C_{2}\sin\ln|x|+3).
x^{2}y^{\prime\prime}-6y=5x^{3}+8x^{2}.,y=C_{1}x^{3}+C_{2}x^{-2}+x^{3}\ln|x|-2x^2
x^{2}y^{\prime\prime}-2y=\sin\ln x.,"y=C_{1}x^{2}+C_{2}x^{-1}+0,1\cos\ln x-0,3\sin\ln x."
(x-2)^{2}y^{\prime\prime}-3(x-2)y^{\prime}+4y=x.,"y=(x-\,2)^{2}(C_{1}+C_{2}\,\ln|x-2|)+x-1,5"
(2x+3)^{3}y^{\prime\prime\prime}+3(2x+3)y^{\prime}-6y=0.,"y=C_{1}(x+{\textstyle{\frac{3}{2}}})+C_{2}|x+{\textstyle{\frac{3}{2}}}|^{3/2}+\,C_{3}|x+\textstyle{\frac{3}{2}}|^{1/2}."
y^{\prime\prime}+2y^{\prime}+y=\cos i x.,y=\left(C_{1}+C_{2}x+{\frac{x^{2}}{4}}\right)\mathrm{e}^{-x}+{\frac{1}{8}}\mathrm{e}^{x}.
y^{\prime\prime}-2y^{\prime}+y=x\mathrm{e}^{x}\sin^{2}i x.,y={\frac{1-x}{16}}\mathrm{e}^{3x}-\frac{1+x}{16}\mathrm{e}^{-x}+(\frac{x^{3}}{12}+C_{1}x+{{C_{2}}})\mathrm{e}^{x}
y^{\prime\prime}+2i y=8\mathrm{e}^{x}\sin x.,y=C_{1}\mathrm{e}^{(-1+i)x}+[C_{2}+(i-1)x]\times e^{(1-i)x} - e^{(1+i)x}
y^{\prime\prime}+2i y^{\prime}-y=8\cos x.,y~=~(2x^{2}+C_{1}x+C_{2})\mathrm{e}^{-i x}-\mathrm{e}^{i x}.
y^{\prime\prime\prime}-8i y=\cos2x.,y = C_{1}\mathrm{e}^{({\sqrt3}+i)x}+C_{2}\mathrm{e}^{(i-{\sqrt3})x}+\left(C_{3}-\textstyle{\frac{x}{24}}\right)\mathrm{e}^{-2i x}+\textstyle{\frac{i}{32}}\mathrm{e}^{2i x}.
y^{\prime\prime}-{\frac{2y}{x^{2}}}=3\ln(-x).,y={\frac{\mathrm{C_1}}{x}}+\left[C_{2_{-}}-{\textstyle\frac{1}{3}}\ln(-x)+{\textstyle\frac{1}{2}}\mathop{\ln}^{2}(-x)\right]x^{2}.
y^{\prime\prime}+2y^{\prime}+y=x\mathrm{e}^{x}+{\frac{1}{x\mathrm{e}^{x}}}.,y=(C_{1}+C_{2}x+{x}\ln|x|)\mathrm{e}^{-x} + \frac{x-1}{4}e^{x}.
y^{\prime\prime}+2y^{\prime}+5y=\mathrm{e}^{-x}(\cos^{2}x+\mathrm{tg}x).,y~=~[\textstyle{\frac{1}{8}}+(C_{1}-{\frac{x}{2}})\cos2x+\left(C_{2}+{\frac{x}{8}}+{\frac{1}{2}}\ln|\cos x|\right)\times\sin2x]e^{-x}.
x^{2}y^{\prime\prime}-2y={\frac{3x^{2}}{x+1}}.,"y\,=\,x^{2}\ln\frac{C_{1}x}{x+1}\,-\,\textstyle{\frac{x}{2}}\,+\,1\,-\,\textstyle{\frac{1}{x}}\,\mathrm{ln}\,C_{2}(x\,+\,1)."
x^{2}y^{\prime\prime}-x y^{\prime}+y={\frac{\ln x}{x}}+{\frac{x}{\ln x}}.,y =x[C_{1}+(C_{2}+\ln|\ln x|)\ln x]+{\frac{1+\ln x}{4x}}.
x y^{\prime}=y+x\cos^{2}{\frac{y}{x}},{\mathrm{tg}}\ {\frac{y}{x}}=\operatorname*{ln}C x.
"(x-y)\,{\mathrm{d}}x+x\,{\mathrm{d}}y=0.",y=x\;(C-\ln x).
"x y^{\prime}=y\,(\ln y-\ln x).",y=x\mathrm{e}^{1+C x}.
x^{2}\operatorname{d}y=(y^{2}-x y+x^{2})\operatorname{d}x.,(x- y)\ln C x=x
x y^{\prime}=y+\sqrt{y^{2}-x^{2}}.,y+\sqrt{{y^{2}-x^{2}}}=C x^{2}
x y^{\prime}=y+\sqrt{y^{2}-x^{2}}.,"y=x,"
x y^{\prime}=y+\sqrt{y^{2}-x^{2}}.,y = -x 
2x^{2}y^{\prime}=x^{2}+y^{2}.,2x = (x - y)\ln Cx
(4x-3y)\operatorname{d}\!x+(2y-3x)\mathrm{d}y = 0,y^{2}-3x y + 2x^2 = C
"(y-x)\,\mathrm{d}x+(y+x)\mathrm{d}y = 0","y^{2}+2x y-x^{2}=C\,,"
"x+y-2+(1-x)\,y^{\prime}=0.",y = 1 + (x - 1)\ln C(x - 1)
"(3y-7x+7)\mathrm{d}x-(3x - 7y-3)\,\mathrm{d}y=0.",(x + y - 1)^5 - (x - y - 1)^2 = C
"(x+y-2)\,\mathrm{d}x\,+\,(x-y\,\ -\,4)\,\mathrm{d}y=0.","y^{2}{-}2x y{-}x^{2}-8y\,+4x=C\,."
"(x+y)\,{\mathrm{d}}x+(x-y-2)\,{\mathrm{d}}y=0.","y^{2}-2x y-x^{2}+4y=C\,."
2x+3y-5+(3x+2y-5)y^{\prime}=0.,y^{2}+3x y+x^{2}-5x-5y=C
8x\ +4y\ +1\ + (4x + 2y\ +1)y^{\prime} = 0,(4x+2y+1)^{2}=4x + C
"(x-2y-1)\,\mathrm{d}x+(3x-6y+2)\,\mathrm{d}y=0.","x+3y-\ln|x-2y|=C,"
"(x+y)\,{\mathrm{d}}x+(x+y-1)\mathrm{d}y=0\,.",(x+y\!-\!1)^2\!+\!2x=C.
2x y^{\prime}\left(x-y^{2}\right)+y^{3}=0.,y^{2}=x\ln C y^{2}.
4y^{6}+x^{3}=6x y^{5}y^{\prime}.,"C x^{4}=y^{6}+x^{3}\,."
y(1 + \sqrt{x^{2}y^{4}+1})\mathrm{d}x+2x\mathrm{d}y=0.,"\sqrt{{x^{2}}y^{4}+1}=C x^{2}\,y^{2}-1"
"(x+y^{3})\,\mathrm{d}x+3\,(y^{3}\!-\!x)\,y^{2}\,\mathrm{d}y=0.","2\mathrm{arctg}\frac{y^{3}}{x}=\ln{(x^{2}+y^{6})}+C,"
y^{\prime}+ 2y=\mathrm{e}^{-x}.,y=Ce^{-2x}+\mathrm{e}^{-x}
"x^{2}+x y^{\prime}=y,\ y\bigl\vert_{x=1}=0.","y=x-x^{2},"
y^{\prime}-2x y=2x\mathrm{e}^{x^{2}}.,"y=(C+x^{2})\,e^{x^{2}}"
y^{\prime}+2x y=\mathrm{e}^{-x^2},y=(C+x)\;{\mathrm{e}}^{-x^{2}}.
"y^{\prime}\cos x-y\sin x=2x,\ y|_{x=0}=0.",y={\frac{x^{2}}{\cos x}}\ .
"x y^{\prime}-2y=x^{3}\cos x,",y=C x^{2}+x^{2}\sin x.
"y^{\prime}-y\ {\mathrm{tg}}\,x={\frac{1}{\cos^{3}x}}\,,\,y\vert_{x=0}=0.",y={\frac{\sin x}{\cos^{2}x}}\;.
"y^{\prime}\,x\ln x-y=3x^{3}\ln^{2}x.","y=(C+x^{3})\,\ln x\,."
"(2x-y^{2})\,y^{\prime}=2y.","x=C y-{\frac{y^{2}}{2}}\,."
"y^{\prime}+y\cos x=\cos x,\ y|_{x=0}=1",y=1
"y^{\prime}={\frac{y}{2y\ln y+y-x}}\,.",x={\frac{C}{y}}+y\ln y.
\left(\mathrm{e}^{-{\frac{y^{2}}{2}}}\!-x y\!\right)\!{\mathrm{d}y}\!-\!{\mathrm{d}x}=0.,x=\left(C+y\right)\mathrm{e}^{-{\frac{y^{a}}{2}}}\!\!
"y^{\prime}-y\mathrm{e}^{x}=2x\mathrm{e}^{x}\,.","y=(C+x^{2})\,\mathrm{e}^{x}\ ,"
y^{\prime}-x\mathrm{e}^{x}y=\mathrm{e}^{(1-x)\mathrm{e}^{x}}.,"y=(C+x)\;\mathrm{e}^{(1-x)\,\mathrm{e}^{x}\,,}"
y^{\prime}+2x y=2x y^{2},"y={\frac{1}{1+C\mathrm{e}^{x^{2}}}}\,,"
3x y^{2}y^{\prime}-2y^{3}=x^{3}.,y^{3}=x^{3}+C x^{2};
\left(x^{3}+\mathrm{e}^{y}\right)y^{\prime}=3x^{2}.,"x^{3}\,e^{-y}=C+y"
"y^{\prime}+2x y=y^{2}{\mathrm{e}}^{x^2},",y={\frac{e^{-x^{2}}}{C-x}}.
"y^{\prime}-2y\mathrm{e}^{x}=2\,\sqrt{{{y}}\,\mathrm{e}^{x}}.",\sqrt{y}\ +1=C\mathrm{e}^{e^x}\;.
2y^{\prime}\ln\ x+{\frac{y}{x}}=y^{-1}\cos x,"y^{2}\ln x=C+\sin x,"
2y^{\prime}\sin x+y\cos x=y^{3}\sin^{2}x.,"y^{2}\left(C-x\right)\sin x=1\,."
"(x^{2}+y^{2}+1)\,{\mathrm{d}}y+x y\,{\mathrm{d}}x=0.","y^{4}+2x^{2}\,y^{2}+2y^{2}=C"
y^{\prime}-y\cos x=y^{2}\cos x.,"y={\frac{1}{C\mathrm{e}^{-\sin \,x}-1}}\ ."
"y^{\prime}-\mathrm{tg}\,y=\mathrm{e}^{x}\,\frac{1}{\cos y}\,.","\sin y=(x+C)\operatorname{e}^{x},\ z=\sin y."
"y^{\prime}=y\,(\mathbf{e}^{x}+\ln y).","\ln\,y=(x+C)\operatorname{e}^{x},\,\ z=\ln y."
y^{\prime}\cos y+\sin y=x+1.,"\sin y=x+C\mathrm{e}^{-x},"
"y y^{\prime}+1=(x-1)\,\mathrm{e}^{-{\frac{y^{2}}{2}}}.",x-2\!+\!Ce^{-x}=\mathrm{e}^{y^{2}/2}
y^{\prime}\cos y+\sin y=x+1.,z=\sin y
"y y^{\prime}+1=(x-1)\,\mathrm{e}^{-{\frac{y^{2}}{2}}}.",\ z\!=\!\mathrm{e}^{y^{2}/2}
y^{\prime}+x\sin2y=2x\mathrm{e}^{-x^{2}}\mathrm{cos}^{3}y.,"\mathrm{tg}\,y=(C+x^{2})\;{\mathrm{e}}^{-x^{2}}"
y^{\prime}+x\sin2y=2x\mathrm{e}^{-x^{2}}\mathrm{cos}^{3}y.,"z=\mathrm{tg\,y}"
"\int_0^xt y\ (t)\,\mathrm{d}t=x^{2}y\ (x).",x y=C
y\left(x\right)=\int_0^xy\left(t\right)\mathrm{d}t+\mathrm{e}^{x}.,y=(x+1)\;{\mathrm{e}}^{x}.
"{{\int_{x}^{a}}}t y\ (t)\,\mathrm{d}t=x^{2}+yx","y=2-(2+a^{2})\,\mathrm{e}^{\frac{x^{2}-a^{4}}{2}}"
"x\,(2x^{2}+y^{2})+y\,(x^{2}+2y^{2})\,y^{\prime}=0.",x^{4}+x^{2}y^{2}+y^{4}=C;
"(3x^{2}+6x y^{2})\,\mathrm{d}x+(6x^{2}y\,+\,4y^{3})\,\mathrm{d}y=0,","x^{3}+3x^{2}\,y^{2}+y^{4}=C\,."
\left(\frac{x}{\sqrt{x^{2}+y^{2}}}+\frac{1}{x}+\frac{1}{y}\right)\mathrm{d}x+ \left(\frac{y}{\sqrt{x^{2}+y^{2}}} + \frac{1}{y} - \frac{x}{y^2}\right)\mathrm{d}y = 0,\sqrt{x^{2}+y^{2}}+\ln|x y| + \frac{x}{y} = C
"\left(3x^{2}\tg\,y-\frac{2y^{3}}{x^{3}}\right)\mathrm{d}x+(x^{3}\,\mathrm{sec}^{2}\,y\,+\,4y^{3}+\frac{3y^{2}}{x^{2}})\mathrm{d}y=0","x^{3}\,\mathrm{tg}\,y+y^{4}+{\frac{y^{3}}{x^{2}}}=C,"
"\left(2x+{\frac{x^{2}+y^{2}}{x^{2}y}}\right)\mathrm{d}x={\frac{x^{2}+y^{2}}{x y^{2}}}\,\mathrm{d}y.\,","x^{3}\,y+x^{2}-y^{2}=C x y\,,"
\left(\frac{\sin 2x}{y}+{x}\right)\mathrm{d}x+\left(y-\frac{\sin^{2}x}{y^{2}}\right)\mathrm{d}y=0.,{\frac{\sin^{2}x}{y}}+{\frac{x^{2}+y^{2}}{2}}=C.
"(3x^{3}-2x-y)\,{\mathrm{d}}x+(2y-x+3y^{2})\,{\mathrm{d}}y=0.",x^{3}+y^{3}-x^{2}-x y+y^{2}=C.
\left(\frac{x y}{\sqrt{1 +x^{2}}}+2x y-\frac{y}{x}\right){\mathrm{d}}x+(\sqrt{x^2 + 1} + x^2 -\ln x)\mathrm{d}y = 0,"y\,{\sqrt{1+x^{2}}}+x^2y -y\ln x = C"
"{\frac{x\,{\mathrm{d}}x+y\,{\mathrm{d}}y}{\sqrt{x^{2}+y^{2}}}}+{\frac{x\,{\mathrm{d}}y-y\,{\mathrm{d}}x}{x^{2}}}=0.",\sqrt{{x}^{2}+y^{2}}+\frac{y}{x}=C.
\Bigl(\sin y+y\sin x+{\frac{1}{x}}\Bigr)\mathrm{d}x+(x\cos y - \cos x + \frac{1}{y})\mathrm{d}y = 0,"x\sin y-y\cos x+\ln|x y|=C,"
"\frac{y+\sin x\,\cos^{2}x y}{\cos^{2}x y}\,\mathrm{d}x+\left(\frac{x}{\cos^{2}x y}+\mathrm{sin}\,y\right)\mathrm{d}y=0",\tg x y{\mathrm{-cos~}}x{\mathrm{-cos~}}y = C
"\frac{2x\,\mathrm{d}x}{y^{3}}+\frac{(y^{2}-3x^{3})\,\mathrm{d}y}{y^{2}}=0,y\vert_{x=1}=1.",y=x
y\left(x^{2}+y^{2}+a^{2}\right)\mathrm{d}y+x\left(x^{2}+y^{2}-a^{2}\right)\mathrm{d}x=0.,(x^{2}+y^{2})^{2}+2a^{2}\left(y^{3}-x^{2}\right)=C
"(3x^{2}y+y^{3})\,\mathrm{d}x+(x^{3}+3x y^{2})\,\mathrm{d}y=0.",x y\ (x^{2}+y^{2})=C
"(1-x^{2}y)\,\mathrm{d}x+x^{2}(y-x)\,\mathrm{d}y=0,","x y^{2}-2x^{2}\,y-2=C x;\ "
"(x^{2}+y)\,\mathrm{d}x-x\,\mathrm{d}y=0,",x-{\frac{y}{x}}=C
"(x+y^{2})\,\mathrm{d}x-2x y\,\mathrm{d}y=0",x\ln|x|-y^{2}\!=\!C x
"(2x^{2}\,y+2y+5)\,{\mathrm{d}}x+(2x^{3}+2x)\,{\mathrm{d}}y=0,",5\operatorname{arctg}x+2x y=C
"(2x^{2}\,y+2y+5)\,{\mathrm{d}}x+(2x^{3}+2x)\,{\mathrm{d}}y=0,",x=0;
"(x^{4}\ln x-2x y^{3})\,\mathrm{d}x+3x^{2}y^{2}\,\mathrm{d}y=0,",y^{3}+x^{3}\left(\ln x-1\right)=C x^{2};
"(x+\sin x+\sin y)\mathrm{d}x+\cos y\,\mathrm{d}y=0,",2\mathrm{e}^{x}\sin y+2\mathrm{e}^{x}\left(x-1\right)+\mathrm{e}^{x}\left(\sin x-\cos x\right)=C
"(2x y^{2}-3y^{3})\,\mathrm{d}x+(7-3x y^{2})\,\mathrm{d}y=0,",x^{2}-{\frac{7}{y}}-3x y=C
"(3y^{2}-x)\,\mathrm{d}x+(2y^{3}-6x y)\,\mathrm{d}y=0","(x+y^{2})^{2}\,C=x-y^{2};"
"(x^{2}+y^{2}+1)\,{\mathrm{d}}x-2x y\,{\mathrm{d}}y=0",1+y^{2}-x^{2}=C x
"x\,{\mathrm{d}}x+y\,{\mathrm{d}}y+x\,(x\,{\mathrm{d}}y-y\,{\mathrm{d}}x)=0","y-1=C\,\\sqrt{x^{2}+y^{2}},"
4y^{\prime2}-9x=0.,(y-C)^{2}=x^{3}
y^{\prime 2}-2y y^{\prime}=y^{2}(\mathrm{e}^{2x}-1).,"\ln\,C y=x \pm 2e^{x / 2}"
y^{\prime 2}-2y y^{\prime}=y^{2}(\mathrm{e}^{2x}-1).,y=0.
y^{\prime2}-2x y^{\prime}-8x^{2}=0.,y{=}2x^{2}+C
y^{\prime2}-2x y^{\prime}-8x^{2}=0.,"y=-x^2+C,"
x^{2}y^{\prime2}+3x y y^{\prime}+2y^{2}=0.,x y=C
x^{2}y^{\prime2}+3x y y^{\prime}+2y^{2}=0.,x^{2}y=C.
"y^{\prime^2}-(2x+y)\,y^{\prime}+x^{2}+x y=0.",y={\frac{x^{2}}{2}}+C
"y^{\prime^2}-(2x+y)\,y^{\prime}+x^{2}+x y=0.",y=C e^{x}-x-1.
"y^{\prime^3}+(x+2)\,\mathrm{e}^{y}=0.",4\mathrm{e}^{-y/3}=(x+2)^{4/3}+C.
y^{\prime3}-y y^{\prime2}-x^{2}y^{\prime}+x^{2}y=0.,"y={\frac{x^{2}}{2}}+C,"
y^{\prime3}-y y^{\prime2}-x^{2}y^{\prime}+x^{2}y=0.,y=-{\frac{x^{2}}{2}}+C
y^{\prime3}-y y^{\prime2}-x^{2}y^{\prime}+x^{2}y=0.,y=C e^{x}
y^{\prime}\colon\mathbf{-}y y^{\prime}+\mathbf{e}^{x}=0.,y=C e^{x}+{\frac{1}{C}}
y^{\prime}\colon\mathbf{-}y y^{\prime}+\mathbf{e}^{x}=0.,y=\pm2e^{x/2}.
y^{\prime2}-4x y^{\prime}+2y+2x^{2}=0.,y=C x+{\frac{1}{2}}\;(x^{2}-C^{2})
y^{\prime2}-4x y^{\prime}+2y+2x^{2}=0.,"y=x^{2},"
y=y^{\prime2} e^{y^{\prime}}.,"x=\mathrm{e}^{p}\left(p+1\right)+C,y=p^{2}\,\mathrm{e}^{p}"
y=y^{\prime2} e^{y^{\prime}}.,"y=0\,,"
y^{\prime}=\mathbf{e}^{y^{\prime}/y}.,"x{=}\ln|\ln p|+{\frac{1}{\ln p}}+C, y={\frac{p}{\ln p}}\ ."
"y=(y^{\prime}-1)\,\mathrm{e}^{y^{\prime}}.","x=\mathrm{e}^{p}+C,y=(p\mathrm{-}1)\operatorname{e}^{p}"
"y=(y^{\prime}-1)\,\mathrm{e}^{y^{\prime}}.",y=-1.
x=\ln y^{\prime}+\sin y^{\prime}{\mathrm{:}},"x=\ln{p}+\sin{p},y=C+p\ (1+\sin p)+\cos p\,."
y^{\prime2}x=\mathrm{e}^{1/y^{\prime}},"x={\frac{\mathrm{e}^{1/p}}{p^{2}}}\,,y=C+\mathrm{e}^{1/p}\left(1+\frac{1}{p}\right)."
x=y^{\prime2}-2y^{\prime}+2.,"x=p^{2}-2p+2\,,y+C={\frac{2}{3}}p^{3}\!-\!p^{2}"
"x\,(1+y^{\prime2}\,)^{3/2}=a.","x=a\cos^{3}t, y+C=-\,a\,\sin^{3}\,t,\;\;\;p=\mathrm{tg}\,t\,."
y=y^{\prime}\ln y^{\prime}.,"x+c={\frac{(\ln p+1)^{2}}{2}},y=p\ln p"
y^{\frac{2}{5}}+y^{\prime\frac{2}{5}}=a^{\frac{2}{5}}.,"x=5\Bigl\{\frac{1}{3}\tg^{3}t-t g\,t+t\Bigr\}+ C, y=a\sin^{5}t"
x=y^{\prime}+\sin y^{\prime}.,"x=p+\sin p, y+C={\frac{1}{2}}\;p^{2}+p\;\mathrm{sin}\;p+\mathrm{cos}\;p"
"y=y^{\prime}\,(1+y^{\prime}\cos y^{\prime}).","x+C=\ln|p|+\sin p+p\cos p, y=p+p^{2}\cos p"
y=\arcsin y^{\prime}+\ln{1 + y^{\prime2}},"x+C=2\mathrm{arctg}p-\mathrm{ln}\left|\frac{1+\sqrt{1 - p^2}}{p}\right|,y=\operatorname{arcsin}p+\ln\,(1+p^{2}),"
y=2x y^{\prime}+\ln y^{\prime}.,"x={\frac{C}{p}}-{\frac{1}{p}}\,, y={\frac{2C}{p}}+\ln\,p-2\,,"
y=\ x\ (1+y^{\prime})+y^{\prime2}.,"x=2(p - 1)+ C\mathrm{e}^{-p}, y=\{2\ (1-p)+C\,\mathrm{e}^{-p}]\ (1+p)+p^{2}"
y=2x y^{\prime}+\sin y^{\prime}.,"x={\frac{C}{p^2}}-{\frac{\cos p}{p^2}}-{\frac{\sin p}{p}}\;,y={\frac{2C}{p}}-{\frac{2\cos p}{p}}-\sin p,"
"y=x y^{\prime2}-{\frac{1}{y^{\prime}}}\;,","x={\frac{Cp^{2}+2p-1}{2p^{2}\,(p-1)^{2}}}\;, y=\frac{C p^{2}+2p-1}{2\,(p-1)^{2}}-\frac{1}{p}\;,"
"y={\frac{3}{2}}\,x y^{\prime}+\,\mathrm{e}^{y^{\prime}}.","x={\frac{C}{p^{3}}}-2\mathrm{e}^{p}\left({\frac{1}{p}}-{\frac{2}{p^{2}}}+{\frac{2}{p^{3}}}\right), y=\frac{3C}{2p^{2}}-2\mathrm{e}^{p}\left(1-\frac{3}{p}+\frac{3}{p^{2}}\right);"
y=x y^{\prime}+{\frac{a}{y^{\prime 2}}}\ .,y=Cx+\frac{a}{C^{2}}
y=x y^{\prime}+{\frac{a}{y^{\prime 2}}}\ .,4y^{3}=27a x^{2}.
y=x y^{\prime}+y^{\prime2}\ .,"y=C x+C^{2},"
y=x y^{\prime}+y^{\prime2}\ .,y=-\frac{x^2}{4}
x y^{\prime2}-y y^{\prime}-y^{\prime}+1=0.,y=C x-\frac{C-1}C
x y^{\prime2}-y y^{\prime}-y^{\prime}+1=0.,"(y+1)^{2}=4x\,,"
y=x y^{\prime}+a\sqrt{1 + y^{\prime 2}}.,y=Cx + a\sqrt{1 + C^2}
y=x y^{\prime}+a\sqrt{1 + y^{\prime 2}}.,x^2 + y^2 = a^2
x=\frac{y}{y^{\prime}}+\frac{1}{y^{\prime 2}}.,x=C y+C^{2}
x=\frac{y}{y^{\prime}}+\frac{1}{y^{\prime 2}}.,4x=-y^{2}.
y^{\prime}=(x-y)^{2}+1.,y=x-{\frac{1}{x+C}}:
"x\sin x\cdot y^{\prime}+(\sin x-x\cos x)\,y=\sin x\cos x-x","y=C\,{\frac{~\sin\;x}{x}}+\cos x"
"{\frac{\mathrm{d}y}{\mathrm{d}x}}+ y\cos x=y^{n}\sin2x\,,\quad n\neq1\,.","y^{1-n}=2\sin x+\frac{2}{n-1}\,+\,C\mathrm{e}^{(n-1)\,\sin\,x}"
"(x^{3}-3x y^{2})\,\mathrm{d}x+(y^{3}-3x^{2}y)\,\mathrm{d}y=0.","x^{4}-6x^{2}\,y^{2}+y^{4}=C"
"(5x y-4y^{2}-6x^{2})\,\mathrm{d}x+(y^{2}-8x y+2,5x^{2})\,\mathrm{d}y=0.","15x^{2}y-24x y^{2}-\,12x^{3}+2y^{3}=C."
